Ai,$C_{euc}$,$C_{hau}$,$C_{che}$,$T_{euc}$,$T_{hau}$,$T_{che}$,$C_{euc}$,$C_{hau}$,$C_{che}$,$T_{euc}$,$T_{hau}$,$T_{che}$
$A_{1}$,0.02578569134023929,0.025097904970572116,0.02506658014019358,0.025687257511858935,0.06852579500903151,0.0812577233397995,13,13,13,13,13,13
$A_{2}$,0.7496944498652405,0.7399108665391374,0.7602814579223515,0.7757305649666132,0.8846432633797566,0.7973599174343791,3,3,3,3,2,2
$A_{3}$,0.1080296281683657,0.11535620025739805,0.11863785027847103,0.11626873960592832,0.16450451752744236,0.23698988470681825,9,9,9,9,10,9
$A_{4}$,0.1530976611981067,0.16389535378538725,0.1704106909530466,0.1602852679552911,0.19583279913750581,0.29071194846178705,8,8,8,8,9,8
$A_{5}$,0.09222257481824543,0.10180199062311962,0.09371479874617963,0.08188466284410394,0.21928449552019075,0.15049275140717233,10,10,10,10,8,11
$A_{6}$,0.019468435039872473,0.01813899056859621,0.0185533975017683,0.021308760872972485,0.05933040780342957,0.0788031935892182,14,14,14,14,14,14
$A_{7}$,0.04614809447890933,0.06194575661826813,0.05605772822891512,0.03945626060121157,0.148324757758843,0.0989337650946134,12,12,12,12,11,12
$A_{8}$,0.0009536870044246087,0.0008077542539900935,0.0009396465960734514,0.0013701425901385706,0.007814018537737171,0.01004964145035785,16,16,16,16,16,16
$A_{9}$,0.20797289777397307,0.21495307575498362,0.22695635494668256,0.2114283853621021,0.23467834749172448,0.35489451978756453,7,7,7,7,7,7
$A_{10}$,0.6722760930959365,0.6305863037703714,0.658178077929473,0.6961532638818927,0.45749668064076116,0.6220447347601845,4,4,4,4,6,5
$A_{11}$,0.4859036730124125,0.45251103483700106,0.46238435125165633,0.5054812530163953,0.7319548098561924,0.6476953027998229,5,5,5,5,3,4
$A_{12}$,0.0041878992011538585,0.005068587173305708,0.005005081969907907,0.0035616896571801647,0.02423151585417678,0.03239451620016668,15,15,15,15,15,15
$A_{13}$,0.07578329081054606,0.0867871321793082,0.09005319427081322,0.07488012297193017,0.12527257690057528,0.16245405820464962,11,11,11,11,12,10
$A_{14}$,0.8816877710337003,0.8273087385457204,0.8669187448144626,0.9019010583672662,0.6226813753605696,0.7148678740014656,2,2,2,2,4,3
$A_{15}$,0.3298642759575932,0.3070190955486347,0.29234531674458225,0.316985862687313,0.5328423048281412,0.4286419021253315,6,6,6,6,5,6
$A_{16}$,0.9418881623861842,0.9329902227059258,0.9481959806032854,0.9456911755143405,0.967593561178386,0.9240564191375229,1,1,1,1,1,1
