Ai,$C_{euc}$,$C_{hau}$,$C_{che}$,$T_{euc}$,$T_{hau}$,$T_{che}$,$C_{euc}$,$C_{hau}$,$C_{che}$,$T_{euc}$,$T_{hau}$,$T_{che}$
$A_{1}$,0.016711251482060242,0.016575571891650022,0.016898954173898688,0.01819087811227165,0.05938297359306333,0.06052267778419473,13,13,13,13,13,14
$A_{2}$,0.8877843634174033,0.8578564422853965,0.8753689447792853,0.9061662792085525,0.8873679998707501,0.8545013568538324,2,2,2,2,2,2
$A_{3}$,0.058393854273609096,0.05266891913961124,0.058003508928624437,0.06549431856137933,0.11751752025678032,0.14615830431046276,11,11,11,10,12,10
$A_{4}$,0.20946843280977925,0.21329059229994085,0.23105267231321874,0.2192146260966798,0.25276232443226604,0.3632681379770053,7,7,6,7,7,6
$A_{5}$,0.07230356861011018,0.06841998141542148,0.06409954789847071,0.06218901761944354,0.22979821005146184,0.14214028043540597,10,10,10,11,8,11
$A_{6}$,0.011588015817372555,0.010912331524485732,0.011591305409075499,0.014351546645963624,0.03907503958953259,0.0477127046875659,14,14,14,14,15,15
$A_{7}$,0.03633720088782085,0.04098677918894322,0.0383082302073006,0.030282330491894237,0.16622204720104106,0.09707023286530231,12,12,12,12,11,12
$A_{8}$,0.00783190414913831,0.007511051948763728,0.008149231050574334,0.010312750409487115,0.03210286568094164,0.041561503205830304,15,15,15,15,16,16
$A_{9}$,0.1622424519972616,0.14720370835084814,0.16122577182304598,0.1599816570004867,0.19225837833559073,0.30057616714772084,8,8,8,8,9,8
$A_{10}$,0.6070814046065799,0.5547310522719773,0.5398364632404943,0.6272998953225113,0.42162393727767217,0.5815571298882203,4,4,4,4,5,5
$A_{11}$,0.49121472056941273,0.45603365035022597,0.4884693375327448,0.5147666217457616,0.6545417148193655,0.6719427796218239,5,5,5,5,3,3
$A_{12}$,0.0035686267336003732,0.005439494378065626,0.005439384000332418,0.004194694705086477,0.05925955926862901,0.06317102178677773,16,16,16,16,14,13
$A_{13}$,0.11167762035802742,0.1370534256400872,0.15937989318596538,0.11813238672758958,0.18725890016992675,0.2778663716142918,9,9,9,9,10,9
$A_{14}$,0.8584100735164342,0.7900958708404988,0.7260826297817548,0.8682221698318244,0.5325760621783466,0.6671486927198677,3,3,3,3,4,4
$A_{15}$,0.24036669299649208,0.21620906946455357,0.2288526890777627,0.22492452289507053,0.3836327372088105,0.3270766465069767,6,6,7,6,6,7
$A_{16}$,0.9313302273720859,0.8896519231747961,0.957122167142309,0.9362980953701064,0.9625824963955287,0.9262002792569777,1,1,1,1,1,1
