Ai,$C_{euc}$,$C_{hau}$,$C_{che}$,$T_{euc}$,$T_{hau}$,$T_{che}$,$C_{euc}$,$C_{hau}$,$C_{che}$,$T_{euc}$,$T_{hau}$,$T_{che}$
$A_{1}$,0.041174585747767264,0.03937999533911641,0.03936937839138293,0.03987394017997054,0.09948992501726776,0.1716068849409406,12,13,13,12,13,13
$A_{2}$,0.9032512700484624,0.8723480240360345,0.8747652353112623,0.9185457487008578,0.844664072854279,0.8776315511011967,2,2,2,2,2,2
$A_{3}$,0.0057889876609314205,0.005985767349735169,0.005985767349735169,0.006650897394639929,0.04052699659404737,0.06893468043048909,16,16,16,16,16,16
$A_{4}$,0.16976762110301732,0.17152868045352374,0.17143973431373305,0.16922808138735085,0.17897966827856626,0.32911792422243236,9,9,9,9,8,9
$A_{5}$,0.0618618465328676,0.05906995565732092,0.05911375288401467,0.05780053983734856,0.12171036852332257,0.22643348496214188,11,11,11,11,12,12
$A_{6}$,0.02068023253723472,0.020165283011081187,0.020134078468068466,0.0205572791338845,0.06526369718571773,0.11445071593309224,14,14,14,15,15,15
$A_{7}$,0.08042636275879,0.09836827704542749,0.09854026198112822,0.08664159919932855,0.1421318050428875,0.30486184309784164,10,10,10,10,10,10
$A_{8}$,0.0199001000574927,0.01982712791304799,0.01972536021699755,0.02081260691600234,0.0737186167793567,0.12054806902559256,15,15,15,14,14,14
$A_{9}$,0.19619744215152418,0.18552036062437208,0.18709477543116745,0.1859025502896197,0.17172347405972146,0.33949818197089593,8,8,8,8,9,8
$A_{10}$,0.6514811640341951,0.5903278086419579,0.5904849784663166,0.6714763962230846,0.39394890160004975,0.6307223025609108,4,4,4,4,5,4
$A_{11}$,0.4068413732565005,0.39919174010546904,0.40566778754906274,0.422407057973487,0.4510529955825722,0.5964114892321954,5,5,5,5,4,5
$A_{12}$,0.03219651776060658,0.04019720016613916,0.03973221079728252,0.03939388856642765,0.1351748251106251,0.23526623144266356,13,12,12,13,11,11
$A_{13}$,0.20731301805438743,0.2679792298782077,0.26817408072292614,0.2317441306576641,0.19844868780341904,0.4756535751717678,7,6,6,7,7,6
$A_{14}$,0.8702051977881455,0.7710820161275147,0.7711286637072039,0.8775724111918946,0.46690080706312687,0.7089519853264539,3,3,3,3,3,3
$A_{15}$,0.27084432236522477,0.251280681451782,0.25310908020660383,0.25733823526634175,0.3301067293397925,0.4186198443344549,6,7,7,6,6,7
$A_{16}$,0.9171932341257522,0.9472706323182244,0.9478446890648078,0.9271379965421608,0.9801919346833505,0.9484945296049415,1,1,1,1,1,1
